transactionId,productId,transactionAmount,transactionDatetime
84,40,3000,2023-09-01 06:55:00
85,40,1000,2023-09-01 07:00:00
86,40,1000,2023-09-01 07:05:00
87,10,3000,2023-09-01 07:10:00
88,20,3000,2023-09-01 07:15:00
89,10,3000,2023-09-01 07:20:00
90,40,3000,2023-09-01 07:25:00
91,30,1000,2023-09-01 07:30:00
92,40,1000,2023-09-01 07:35:00
93,40,2000,2023-09-01 07:40:00
94,20,1000,2023-09-01 07:45:00
95,30,3000,2023-09-01 07:50:00
96,30,4000,2023-09-01 07:55:00
97,30,2000,2023-09-01 08:00:00
98,10,1000,2023-09-01 08:05:00
99,30,1000,2023-09-01 08:10:00
100,20,3000,2023-09-01 08:15:00
101,20,2000,2023-09-01 08:20:00
102,20,3000,2023-09-01 08:25:00
103,10,1000,2023-09-01 08:30:00
104,30,2000,2023-09-01 08:35:00
105,20,3000,2023-09-01 08:40:00
106,20,3000,2023-09-01 08:45:00
107,40,2000,2023-09-01 08:50:00
108,30,2000,2023-09-01 08:55:00
109,40,3000,2023-09-01 09:00:00
110,30,3000,2023-09-01 09:05:00
111,40,2000,2023-09-01 09:10:00
112,10,4000,2023-09-01 09:15:00
113,30,4000,2023-09-01 09:20:00
114,20,2000,2023-09-01 09:25:00
115,40,4000,2023-09-01 09:30:00
116,40,4000,2023-09-01 09:35:00
117,10,1000,2023-09-01 09:40:00
118,30,4000,2023-09-01 09:45:00
119,10,3000,2023-09-01 09:50:00
120,40,2000,2023-09-01 09:55:00
121,20,2000,2023-09-01 10:00:00
122,20,4000,2023-09-01 10:05:00
123,20,4000,2023-09-01 10:10:00
124,30,4000,2023-09-01 10:15:00
125,20,1000,2023-09-01 10:20:00
126,20,4000,2023-09-01 10:25:00
127,40,3000,2023-09-01 10:30:00
128,40,3000,2023-09-01 10:35:00
129,30,2000,2023-09-01 10:40:00
130,20,4000,2023-09-01 10:45:00
131,40,4000,2023-09-01 10:50:00
132,10,2000,2023-09-01 10:55:00
133,20,4000,2023-09-01 11:00:00
134,30,3000,2023-09-01 11:05:00
135,40,3000,2023-09-01 11:10:00
136,30,1000,2023-09-01 11:15:00
137,40,2000,2023-09-01 11:20:00
138,10,2000,2023-09-01 11:25:00
139,40,3000,2023-09-01 11:30:00
140,40,3000,2023-09-01 11:35:00
141,30,2000,2023-09-01 11:40:00
142,40,3000,2023-09-01 11:45:00
143,20,3000,2023-09-01 11:50:00
144,20,1000,2023-09-01 11:55:00
145,40,3000,2023-09-01 12:00:00
146,10,3000,2023-09-01 12:05:00
147,10,4000,2023-09-01 12:10:00
148,20,4000,2023-09-01 12:15:00
149,20,1000,2023-09-01 12:20:00
150,40,1000,2023-09-01 12:25:00
151,10,3000,2023-09-01 12:30:00
152,20,2000,2023-09-01 12:35:00
153,30,2000,2023-09-01 12:40:00
154,30,3000,2023-09-01 12:45:00
155,10,2000,2023-09-01 12:50:00
156,20,4000,2023-09-01 12:55:00
157,30,2000,2023-09-01 13:00:00
158,40,3000,2023-09-01 13:05:00
159,30,2000,2023-09-01 13:10:00
160,30,1000,2023-09-01 13:15:00
161,20,2000,2023-09-01 13:20:00
162,20,2000,2023-09-01 13:25:00
163,40,1000,2023-09-01 13:30:00
164,30,1000,2023-09-01 13:35:00
165,10,1000,2023-09-01 13:40:00
166,20,2000,2023-09-01 13:45:00
167,20,3000,2023-09-01 13:50:00
168,40,1000,2023-09-01 13:55:00
169,30,3000,2023-09-01 14:00:00
170,30,3000,2023-09-01 14:05:00
171,10,2000,2023-09-01 14:10:00
172,10,2000,2023-09-01 14:15:00
173,10,4000,2023-09-01 14:20:00
174,10,2000,2023-09-01 14:25:00
175,40,3000,2023-09-01 14:30:00
176,40,1000,2023-09-01 14:35:00
177,40,3000,2023-09-01 14:40:00
178,20,2000,2023-09-01 14:45:00
179,40,2000,2023-09-01 14:50:00
180,10,1000,2023-09-01 14:55:00
181,40,4000,2023-09-01 15:00:00
182,40,2000,2023-09-01 15:05:00
183,10,3000,2023-09-01 15:10:00
184,40,3000,2023-09-01 15:15:00
185,10,1000,2023-09-01 15:20:00
186,20,4000,2023-09-01 15:25:00
187,10,1000,2023-09-01 15:30:00
188,10,3000,2023-09-01 15:35:00
189,20,1000,2023-09-01 15:40:00
190,20,4000,2023-09-01 15:45:00
191,10,3000,2023-09-01 15:50:00
192,30,2000,2023-09-01 15:55:00
193,40,3000,2023-09-01 16:00:00
194,20,4000,2023-09-01 16:05:00
195,10,2000,2023-09-01 16:10:00
196,30,3000,2023-09-01 16:15:00
197,20,1000,2023-09-01 16:20:00
198,20,3000,2023-09-01 16:25:00
199,10,4000,2023-09-01 16:30:00
200,10,3000,2023-09-01 16:35:00
201,40,3000,2023-09-01 16:40:00
202,30,2000,2023-09-01 16:45:00
203,10,2000,2023-09-01 16:50:00
204,30,1000,2023-09-01 16:55:00
205,20,1000,2023-09-01 17:00:00
206,40,4000,2023-09-01 17:05:00
207,30,2000,2023-09-01 17:10:00
208,40,2000,2023-09-01 17:15:00
209,40,3000,2023-09-01 17:20:00
210,10,4000,2023-09-01 17:25:00
211,30,4000,2023-09-01 17:30:00
212,10,1000,2023-09-01 17:35:00
213,10,2000,2023-09-01 17:40:00
214,10,3000,2023-09-01 17:45:00
215,40,4000,2023-09-01 17:50:00
216,40,2000,2023-09-01 17:55:00
217,30,4000,2023-09-01 18:00:00
218,40,3000,2023-09-01 18:05:00
219,40,3000,2023-09-01 18:10:00
220,40,2000,2023-09-01 18:15:00
221,40,1000,2023-09-01 18:20:00
222,10,2000,2023-09-01 18:25:00
223,40,4000,2023-09-01 18:30:00
224,20,1000,2023-09-01 18:35:00
225,20,1000,2023-09-01 18:40:00
226,20,4000,2023-09-01 18:45:00
227,30,1000,2023-09-01 18:50:00
228,10,3000,2023-09-01 18:55:00
229,30,4000,2023-09-01 19:00:00
230,10,4000,2023-09-01 19:05:00
231,20,4000,2023-09-01 19:10:00
232,30,4000,2023-09-01 19:15:00
233,40,1000,2023-09-01 19:20:00
234,30,2000,2023-09-01 19:25:00
235,30,1000,2023-09-01 19:30:00
236,20,2000,2023-09-01 19:35:00
237,40,1000,2023-09-01 19:40:00
238,10,2000,2023-09-01 19:45:00
239,20,4000,2023-09-01 19:50:00
240,20,1000,2023-09-01 19:55:00
241,40,2000,2023-09-01 20:00:00
242,20,4000,2023-09-01 20:05:00
243,10,1000,2023-09-01 20:10:00
244,30,1000,2023-09-01 20:15:00
245,30,2000,2023-09-01 20:20:00
246,20,1000,2023-09-01 20:25:00
247,40,1000,2023-09-01 20:30:00
248,20,2000,2023-09-01 20:35:00
249,30,3000,2023-09-01 20:40:00
250,10,3000,2023-09-01 20:45:00
251,30,3000,2023-09-01 20:50:00
252,40,2000,2023-09-01 20:55:00
253,20,3000,2023-09-01 21:00:00
254,40,1000,2023-09-01 21:05:00
255,40,2000,2023-09-01 21:10:00
256,40,4000,2023-09-01 21:15:00
257,20,4000,2023-09-01 21:20:00
258,20,3000,2023-09-01 21:25:00
259,40,3000,2023-09-01 21:30:00
260,20,3000,2023-09-01 21:35:00
261,40,2000,2023-09-01 21:40:00
262,40,2000,2023-09-01 21:45:00
263,20,2000,2023-09-01 21:50:00
264,40,2000,2023-09-01 21:55:00
265,30,4000,2023-09-01 22:00:00
266,30,1000,2023-09-01 22:05:00
267,30,2000,2023-09-01 22:10:00
268,20,4000,2023-09-01 22:15:00
269,30,1000,2023-09-01 22:20:00
270,40,1000,2023-09-01 22:25:00
271,10,1000,2023-09-01 22:30:00
272,20,4000,2023-09-01 22:35:00
273,10,3000,2023-09-01 22:40:00
274,40,2000,2023-09-01 22:45:00
275,20,3000,2023-09-01 22:50:00
276,10,4000,2023-09-01 22:55:00
277,30,3000,2023-09-01 23:00:00
278,30,4000,2023-09-01 23:05:00
279,10,2000,2023-09-01 23:10:00
280,20,1000,2023-09-01 23:15:00
281,20,3000,2023-09-01 23:20:00
282,10,3000,2023-09-01 23:25:00
283,30,4000,2023-09-01 23:30:00
284,30,1000,2023-09-01 23:35:00
285,30,3000,2023-09-01 23:40:00
286,30,4000,2023-09-01 23:45:00
287,40,4000,2023-09-01 23:50:00
288,20,1000,2023-09-01 23:55:00
289,20,1000,2023-09-02 00:00:00
290,30,3000,2023-09-02 00:05:00
291,40,3000,2023-09-02 00:10:00
292,30,1000,2023-09-02 00:15:00
293,40,3000,2023-09-02 00:20:00
294,10,4000,2023-09-02 00:25:00
295,20,2000,2023-09-02 00:30:00
296,10,1000,2023-09-02 00:35:00
297,20,2000,2023-09-02 00:40:00
298,40,3000,2023-09-02 00:45:00
299,30,1000,2023-09-02 00:50:00
300,40,4000,2023-09-02 00:55:00
301,20,1000,2023-09-02 01:00:00
302,30,3000,2023-09-02 01:05:00
303,20,4000,2023-09-02 01:10:00
304,40,4000,2023-09-02 01:15:00
305,20,1000,2023-09-02 01:20:00
306,10,1000,2023-09-02 01:25:00
307,40,4000,2023-09-02 01:30:00
308,20,3000,2023-09-02 01:35:00
309,30,3000,2023-09-02 01:40:00
310,20,3000,2023-09-02 01:45:00
311,30,3000,2023-09-02 01:50:00
312,10,1000,2023-09-02 01:55:00
313,20,2000,2023-09-02 02:00:00
314,30,1000,2023-09-02 02:05:00
315,10,4000,2023-09-02 02:10:00
316,20,4000,2023-09-02 02:15:00
317,20,4000,2023-09-02 02:20:00
318,20,3000,2023-09-02 02:25:00
319,40,4000,2023-09-02 02:30:00
320,40,1000,2023-09-02 02:35:00
321,10,3000,2023-09-02 02:40:00
322,10,2000,2023-09-02 02:45:00
323,30,2000,2023-09-02 02:50:00
324,20,4000,2023-09-02 02:55:00
325,20,4000,2023-09-02 03:00:00
326,10,4000,2023-09-02 03:05:00
327,10,1000,2023-09-02 03:10:00
328,40,2000,2023-09-02 03:15:00
329,30,4000,2023-09-02 03:20:00
330,20,3000,2023-09-02 03:25:00
331,30,2000,2023-09-02 03:30:00
332,30,3000,2023-09-02 03:35:00
333,40,4000,2023-09-02 03:40:00
334,10,3000,2023-09-02 03:45:00
335,30,4000,2023-09-02 03:50:00
336,30,3000,2023-09-02 03:55:00
337,20,2000,2023-09-02 04:00:00
338,20,4000,2023-09-02 04:05:00
339,10,3000,2023-09-02 04:10:00
340,10,3000,2023-09-02 04:15:00
341,20,3000,2023-09-02 04:20:00
342,10,2000,2023-09-02 04:25:00
343,30,4000,2023-09-02 04:30:00
344,20,1000,2023-09-02 04:35:00
345,10,4000,2023-09-02 04:40:00
346,40,1000,2023-09-02 04:45:00
347,30,2000,2023-09-02 04:50:00
348,10,4000,2023-09-02 04:55:00
349,10,3000,2023-09-02 05:00:00
350,20,1000,2023-09-02 05:05:00
351,10,4000,2023-09-02 05:10:00
352,20,3000,2023-09-02 05:15:00
353,40,3000,2023-09-02 05:20:00
354,30,4000,2023-09-02 05:25:00
355,40,3000,2023-09-02 05:30:00
356,10,2000,2023-09-02 05:35:00
357,20,3000,2023-09-02 05:40:00
358,30,1000,2023-09-02 05:45:00
359,40,3000,2023-09-02 05:50:00
360,20,2000,2023-09-02 05:55:00
361,10,1000,2023-09-02 06:00:00
362,30,4000,2023-09-02 06:05:00
363,40,4000,2023-09-02 06:10:00
364,10,4000,2023-09-02 06:15:00
365,20,3000,2023-09-02 06:20:00
366,10,1000,2023-09-02 06:25:00
367,20,4000,2023-09-02 06:30:00
368,10,1000,2023-09-02 06:35:00
369,10,3000,2023-09-02 06:40:00
370,10,1000,2023-09-02 06:45:00
371,10,1000,2023-09-02 06:50:00
372,30,4000,2023-09-02 06:55:00
373,40,3000,2023-09-02 07:00:00
374,20,3000,2023-09-02 07:05:00
375,40,1000,2023-09-02 07:10:00
376,30,2000,2023-09-02 07:15:00
377,20,2000,2023-09-02 07:20:00
378,20,2000,2023-09-02 07:25:00
379,40,3000,2023-09-02 07:30:00
380,10,1000,2023-09-02 07:35:00
381,20,4000,2023-09-02 07:40:00
382,10,3000,2023-09-02 07:45:00
383,20,4000,2023-09-02 07:50:00
384,20,2000,2023-09-02 07:55:00
385,20,2000,2023-09-02 08:00:00
386,10,2000,2023-09-02 08:05:00
387,30,3000,2023-09-02 08:10:00
388,40,2000,2023-09-02 08:15:00
389,20,3000,2023-09-02 08:20:00
390,30,1000,2023-09-02 08:25:00
391,10,2000,2023-09-02 08:30:00
392,20,1000,2023-09-02 08:35:00
393,10,2000,2023-09-02 08:40:00
394,10,1000,2023-09-02 08:45:00
395,20,1000,2023-09-02 08:50:00
396,40,2000,2023-09-02 08:55:00
397,10,1000,2023-09-02 09:00:00
398,40,2000,2023-09-02 09:05:00
399,30,1000,2023-09-02 09:10:00
400,40,3000,2023-09-02 09:15:00
401,40,2000,2023-09-02 09:20:00
402,10,2000,2023-09-02 09:25:00
403,30,1000,2023-09-02 09:30:00
404,40,3000,2023-09-02 09:35:00
405,10,4000,2023-09-02 09:40:00
406,30,3000,2023-09-02 09:45:00
407,30,2000,2023-09-02 09:50:00
408,40,4000,2023-09-02 09:55:00
409,40,4000,2023-09-02 10:00:00
410,10,2000,2023-09-02 10:05:00
411,40,3000,2023-09-02 10:10:00
412,20,3000,2023-09-02 10:15:00
413,30,4000,2023-09-02 10:20:00
414,20,2000,2023-09-02 10:25:00
415,10,3000,2023-09-02 10:30:00
416,40,3000,2023-09-02 10:35:00
417,40,4000,2023-09-02 10:40:00
418,20,3000,2023-09-02 10:45:00
419,40,4000,2023-09-02 10:50:00
420,20,2000,2023-09-02 10:55:00
421,30,2000,2023-09-02 11:00:00
422,40,1000,2023-09-02 11:05:00
423,40,2000,2023-09-02 11:10:00
424,30,1000,2023-09-02 11:15:00
425,10,1000,2023-09-02 11:20:00
426,20,1000,2023-09-02 11:25:00
427,40,4000,2023-09-02 11:30:00
428,20,3000,2023-09-02 11:35:00
429,40,4000,2023-09-02 11:40:00
430,30,1000,2023-09-02 11:45:00
431,30,4000,2023-09-02 11:50:00
432,30,2000,2023-09-02 11:55:00
433,20,4000,2023-09-02 12:00:00
434,30,1000,2023-09-02 12:05:00
435,20,3000,2023-09-02 12:10:00
436,30,3000,2023-09-02 12:15:00
437,30,1000,2023-09-02 12:20:00
438,20,1000,2023-09-02 12:25:00
439,10,2000,2023-09-02 12:30:00
440,20,3000,2023-09-02 12:35:00
441,20,2000,2023-09-02 12:40:00
442,10,4000,2023-09-02 12:45:00
443,40,4000,2023-09-02 12:50:00
444,40,3000,2023-09-02 12:55:00
445,30,4000,2023-09-02 13:00:00
446,10,2000,2023-09-02 13:05:00
447,20,1000,2023-09-02 13:10:00
448,20,4000,2023-09-02 13:15:00
449,30,1000,2023-09-02 13:20:00
450,10,3000,2023-09-02 13:25:00
451,10,4000,2023-09-02 13:30:00
452,30,3000,2023-09-02 13:35:00
453,40,4000,2023-09-02 13:40:00
454,10,1000,2023-09-02 13:45:00
455,40,4000,2023-09-02 13:50:00
456,10,3000,2023-09-02 13:55:00
457,10,2000,2023-09-02 14:00:00
458,20,2000,2023-09-02 14:05:00
459,20,4000,2023-09-02 14:10:00
460,10,1000,2023-09-02 14:15:00
461,40,3000,2023-09-02 14:20:00
462,30,3000,2023-09-02 14:25:00
463,20,4000,2023-09-02 14:30:00
464,40,1000,2023-09-02 14:35:00
465,20,2000,2023-09-02 14:40:00
466,10,1000,2023-09-02 14:45:00
467,40,4000,2023-09-02 14:50:00
468,10,3000,2023-09-02 14:55:00
469,40,2000,2023-09-02 15:00:00
470,10,4000,2023-09-02 15:05:00
471,10,4000,2023-09-02 15:10:00
472,10,3000,2023-09-02 15:15:00
473,30,1000,2023-09-02 15:20:00
474,40,1000,2023-09-02 15:25:00
475,20,2000,2023-09-02 15:30:00
476,20,1000,2023-09-02 15:35:00
477,10,1000,2023-09-02 15:40:00
478,30,2000,2023-09-02 15:45:00
479,40,2000,2023-09-02 15:50:00
480,20,1000,2023-09-02 15:55:00
481,40,2000,2023-09-02 16:00:00
482,10,4000,2023-09-02 16:05:00
483,40,1000,2023-09-02 16:10:00
484,20,2000,2023-09-02 16:15:00
485,30,1000,2023-09-02 16:20:00
486,20,2000,2023-09-02 16:25:00
487,20,4000,2023-09-02 16:30:00
488,10,2000,2023-09-02 16:35:00
489,20,3000,2023-09-02 16:40:00
490,40,2000,2023-09-02 16:45:00
491,30,1000,2023-09-02 16:50:00
492,20,2000,2023-09-02 16:55:00
493,10,2000,2023-09-02 17:00:00
494,10,2000,2023-09-02 17:05:00
495,10,1000,2023-09-02 17:10:00
496,30,2000,2023-09-02 17:15:00
497,30,3000,2023-09-02 17:20:00
498,40,4000,2023-09-02 17:25:00
499,30,3000,2023-09-02 17:30:00
500,20,3000,2023-09-02 17:35:00
501,30,2000,2023-09-02 17:40:00
502,20,1000,2023-09-02 17:45:00
503,40,1000,2023-09-02 17:50:00
504,10,4000,2023-09-02 17:55:00
505,40,2000,2023-09-02 18:00:00
506,30,1000,2023-09-02 18:05:00
507,40,4000,2023-09-02 18:10:00
508,10,3000,2023-09-02 18:15:00
509,20,2000,2023-09-02 18:20:00
510,10,3000,2023-09-02 18:25:00
511,30,2000,2023-09-02 18:30:00
512,10,1000,2023-09-02 18:35:00
513,30,1000,2023-09-02 18:40:00
514,30,4000,2023-09-02 18:45:00
515,30,3000,2023-09-02 18:50:00
516,30,2000,2023-09-02 18:55:00
517,40,2000,2023-09-02 19:00:00
518,20,3000,2023-09-02 19:05:00
519,30,2000,2023-09-02 19:10:00
520,20,2000,2023-09-02 19:15:00
521,10,4000,2023-09-02 19:20:00
522,20,1000,2023-09-02 19:25:00
523,40,3000,2023-09-02 19:30:00
524,40,3000,2023-09-02 19:35:00
525,20,3000,2023-09-02 19:40:00
526,40,2000,2023-09-02 19:45:00
527,40,3000,2023-09-02 19:50:00
528,40,3000,2023-09-02 19:55:00
529,10,2000,2023-09-02 20:00:00
530,10,3000,2023-09-02 20:05:00
531,30,4000,2023-09-02 20:10:00
532,20,3000,2023-09-02 20:15:00
533,20,1000,2023-09-02 20:20:00
534,40,2000,2023-09-02 20:25:00
535,10,1000,2023-09-02 20:30:00
536,40,2000,2023-09-02 20:35:00
537,30,3000,2023-09-02 20:40:00
538,40,1000,2023-09-02 20:45:00
539,20,4000,2023-09-02 20:50:00
540,20,3000,2023-09-02 20:55:00
541,20,3000,2023-09-02 21:00:00
542,40,2000,2023-09-02 21:05:00
543,10,3000,2023-09-02 21:10:00
544,10,4000,2023-09-02 21:15:00
545,10,3000,2023-09-02 21:20:00
546,20,4000,2023-09-02 21:25:00
547,20,1000,2023-09-02 21:30:00
548,10,4000,2023-09-02 21:35:00
549,30,3000,2023-09-02 21:40:00
550,30,3000,2023-09-02 21:45:00
551,20,4000,2023-09-02 21:50:00
552,40,2000,2023-09-02 21:55:00
553,10,1000,2023-09-02 22:00:00
554,40,4000,2023-09-02 22:05:00
555,20,1000,2023-09-02 22:10:00
556,30,1000,2023-09-02 22:15:00
557,10,1000,2023-09-02 22:20:00
558,40,1000,2023-09-02 22:25:00
559,20,4000,2023-09-02 22:30:00
560,10,4000,2023-09-02 22:35:00
561,40,2000,2023-09-02 22:40:00
562,20,4000,2023-09-02 22:45:00
563,40,1000,2023-09-02 22:50:00
564,30,4000,2023-09-02 22:55:00
565,40,1000,2023-09-02 23:00:00
566,40,4000,2023-09-02 23:05:00
567,10,3000,2023-09-02 23:10:00
568,30,1000,2023-09-02 23:15:00
569,30,3000,2023-09-02 23:20:00
570,20,4000,2023-09-02 23:25:00
571,30,2000,2023-09-02 23:30:00
572,10,2000,2023-09-02 23:35:00
573,10,3000,2023-09-02 23:40:00
574,30,3000,2023-09-02 23:45:00
575,30,2000,2023-09-02 23:50:00
576,30,1000,2023-09-02 23:55:00
577,20,2000,2023-09-03 00:00:00
578,30,1000,2023-09-03 00:05:00
579,40,3000,2023-09-03 00:10:00
580,30,2000,2023-09-03 00:15:00
581,40,1000,2023-09-03 00:20:00
582,30,4000,2023-09-03 00:25:00
583,30,3000,2023-09-03 00:30:00
584,20,2000,2023-09-03 00:35:00
585,20,2000,2023-09-03 00:40:00
586,10,1000,2023-09-03 00:45:00
587,40,4000,2023-09-03 00:50:00
588,30,2000,2023-09-03 00:55:00
589,40,2000,2023-09-03 01:00:00
590,10,1000,2023-09-03 01:05:00
591,30,4000,2023-09-03 01:10:00
592,20,3000,2023-09-03 01:15:00
593,30,2000,2023-09-03 01:20:00
594,30,4000,2023-09-03 01:25:00
595,40,4000,2023-09-03 01:30:00
596,40,1000,2023-09-03 01:35:00
597,40,3000,2023-09-03 01:40:00
598,40,4000,2023-09-03 01:45:00
599,40,4000,2023-09-03 01:50:00
600,30,1000,2023-09-03 01:55:00
601,40,4000,2023-09-03 02:00:00
602,10,4000,2023-09-03 02:05:00
603,30,1000,2023-09-03 02:10:00
604,30,4000,2023-09-03 02:15:00
605,10,4000,2023-09-03 02:20:00
606,40,1000,2023-09-03 02:25:00
607,10,3000,2023-09-03 02:30:00
608,20,2000,2023-09-03 02:35:00
609,20,1000,2023-09-03 02:40:00
610,40,4000,2023-09-03 02:45:00
611,20,1000,2023-09-03 02:50:00
612,30,1000,2023-09-03 02:55:00
613,30,1000,2023-09-03 03:00:00
614,20,3000,2023-09-03 03:05:00
615,40,2000,2023-09-03 03:10:00
616,20,4000,2023-09-03 03:15:00
617,30,2000,2023-09-03 03:20:00
618,30,3000,2023-09-03 03:25:00
619,40,2000,2023-09-03 03:30:00
620,40,2000,2023-09-03 03:35:00
621,40,2000,2023-09-03 03:40:00
622,10,2000,2023-09-03 03:45:00
623,10,4000,2023-09-03 03:50:00
624,20,3000,2023-09-03 03:55:00
625,40,3000,2023-09-03 04:00:00
626,10,3000,2023-09-03 04:05:00
627,10,2000,2023-09-03 04:10:00
628,30,1000,2023-09-03 04:15:00
629,40,1000,2023-09-03 04:20:00
630,30,1000,2023-09-03 04:25:00
631,40,1000,2023-09-03 04:30:00
632,30,3000,2023-09-03 04:35:00
633,20,1000,2023-09-03 04:40:00
634,20,2000,2023-09-03 04:45:00
635,10,1000,2023-09-03 04:50:00
636,20,3000,2023-09-03 04:55:00
637,20,1000,2023-09-03 05:00:00
638,40,1000,2023-09-03 05:05:00
639,30,1000,2023-09-03 05:10:00
640,30,1000,2023-09-03 05:15:00
641,20,3000,2023-09-03 05:20:00
642,30,3000,2023-09-03 05:25:00
643,10,1000,2023-09-03 05:30:00
644,10,1000,2023-09-03 05:35:00
645,20,2000,2023-09-03 05:40:00
646,20,4000,2023-09-03 05:45:00
647,30,3000,2023-09-03 05:50:00
648,10,4000,2023-09-03 05:55:00
649,20,3000,2023-09-03 06:00:00
650,10,4000,2023-09-03 06:05:00
651,20,3000,2023-09-03 06:10:00
652,40,1000,2023-09-03 06:15:00
653,30,2000,2023-09-03 06:20:00
654,10,1000,2023-09-03 06:25:00
655,10,3000,2023-09-03 06:30:00
656,40,4000,2023-09-03 06:35:00
657,40,3000,2023-09-03 06:40:00
658,10,1000,2023-09-03 06:45:00
659,40,1000,2023-09-03 06:50:00
660,40,4000,2023-09-03 06:55:00
661,40,3000,2023-09-03 07:00:00
662,30,4000,2023-09-03 07:05:00
663,20,4000,2023-09-03 07:10:00
664,40,2000,2023-09-03 07:15:00
665,10,3000,2023-09-03 07:20:00
666,20,1000,2023-09-03 07:25:00
667,40,4000,2023-09-03 07:30:00
668,40,4000,2023-09-03 07:35:00
669,40,1000,2023-09-03 07:40:00
670,10,2000,2023-09-03 07:45:00
671,30,2000,2023-09-03 07:50:00
672,40,3000,2023-09-03 07:55:00
673,20,3000,2023-09-03 08:00:00
674,40,4000,2023-09-03 08:05:00
675,20,2000,2023-09-03 08:10:00
676,20,4000,2023-09-03 08:15:00
677,40,2000,2023-09-03 08:20:00
678,40,3000,2023-09-03 08:25:00
679,20,2000,2023-09-03 08:30:00
680,10,4000,2023-09-03 08:35:00
681,30,1000,2023-09-03 08:40:00
682,10,3000,2023-09-03 08:45:00
683,20,3000,2023-09-03 08:50:00
684,10,1000,2023-09-03 08:55:00
685,20,2000,2023-09-03 09:00:00
686,10,2000,2023-09-03 09:05:00
687,10,1000,2023-09-03 09:10:00
688,40,1000,2023-09-03 09:15:00
689,10,1000,2023-09-03 09:20:00
690,40,1000,2023-09-03 09:25:00
691,30,4000,2023-09-03 09:30:00
692,20,1000,2023-09-03 09:35:00
693,40,1000,2023-09-03 09:40:00
694,30,3000,2023-09-03 09:45:00
695,10,4000,2023-09-03 09:50:00
696,20,3000,2023-09-03 09:55:00
697,30,2000,2023-09-03 10:00:00
